C:\Users\YP>tracert georgebrown.ca

Tracing route to georgebrown.ca [99.79.139.11]
over a maximum of 30 hops:

  1    11 ms     2 ms     1 ms  192.168.219.1
  2     5 ms     6 ms     2 ms  49.175.157.1
  3     4 ms    12 ms     3 ms  10.239.14.85
  4     2 ms     3 ms     4 ms  10.204.140.141
  5     4 ms     5 ms     3 ms  1.208.140.141
  6     4 ms    13 ms     5 ms  1.208.141.105
  7     4 ms     3 ms     4 ms  1.213.150.209
  8     4 ms     3 ms     3 ms  1.213.152.193
  9     4 ms     3 ms     3 ms  1.213.151.1
 10   134 ms   134 ms   134 ms  1.208.147.162
 11   143 ms   144 ms   144 ms  1.213.115.146
 12   143 ms   143 ms   143 ms  99.83.90.206
 13   158 ms   146 ms   168 ms  150.222.234.109
 14   146 ms   144 ms   149 ms  54.239.102.210
 15     *        *        *     Request timed out.
 16   147 ms   147 ms   148 ms  150.222.101.82
 17     *        *        *     Request timed out.
 18   221 ms   223 ms   227 ms  52.94.82.22
 19   221 ms   224 ms   222 ms  52.94.83.137
 20   225 ms   223 ms   223 ms  52.94.83.128
 21   225 ms   224 ms   226 ms  52.94.81.249
 22   221 ms   221 ms   223 ms  52.94.81.38
 23     *        *        *     Request timed out.
 24     *        *        *     Request timed out.
 25     *        *        *     Request timed out.
 26     *        *        *     Request timed out.
 27     *        *        *     Request timed out.
 28     *        *        *     Request timed out.
 29   229 ms   224 ms   224 ms  ec2-99-79-139-11.ca-central-1.compute.amazonaws.com [99.79.139.11]

Trace complete.
